@relation clima

@attribute temperatura NUMERIC
@attribute velocidad NUMERIC
@attribute humedad NUMERIC

@data
28.00,1.50,80.26
28.30,3.20,76.00
29.30,2.90,70.60
31.70,1.90,67.60
31.60,1.50,67.40
31.40,2.80,70.70
31.00,3.20,71.50
30.40,3.30,72.00
28.10,3.10,70.30
27.80,3.40,74.30
27.40,3.60,76.50
27.20,3.80,79.80
27.10,4.30,80.40
26.90,4.60,81.30
26.90,5.00,81.80
26.90,5.40,82.20
26.80,5.60,82.00
26.80,5.40,81.60
26.60,4.80,81.00
26.50,3.40,84.20
26.10,2.80,84.60
25.80,3.30,84.00
25.40,3.20,84.00
25.70,3.40,84.20
26.70,3.90,83.10
28.00,3.80,82.90
28.80,3.00,77.40
29.40,2.20,71.20
29.20,1.90,69.50
28.90,2.90,71.90
28.50,2.80,72.80
28.30,2.40,72.70
28.20,2.70,75.50
27.90,2.70,79.50
27.40,3.00,80.90
27.20,3.40,82.60
27.00,3.80,83.50
26.80,4.00,84.70
26.70,4.80,85.80
26.70,5.30,86.20
26.70,5.60,86.00
26.60,5.60,86.20
26.50,5.00,86.70
26.40,4.10,85.90
26.30,2.70,88.10
26.00,2.70,90.50
25.60,3.30,91.40
25.80,3.30,90.60
26.80,3.80,86.60
27.90,3.90,80.30
28.80,3.20,73.80
29.30,2.70,69.60
29.40,2.70,68.90
28.90,3.50,70.80
28.40,3.10,75.70
28.20,2.40,76.50
28.10,2.30,77.30
27.70,2.20,79.70
27.20,2.00,80.40
27.00,2.00,80.00
26.40,1.90,81.00
26.30,2.00,82.30
26.30,2.10,83.00
26.30,2.00,83.80
26.20,2.00,84.90
26.00,1.80,85.80
25.60,1.40,86.90
25.40,1.60,86.20
25.30,2.10,87.20
25.00,2.30,88.00
24.90,3.00,88.70
25.20,3.30,87.80
