@relation clima

@attribute temperatura NUMERIC
@attribute velocidad NUMERIC
@attribute humedad NUMERIC

@data
28,2,80
28,3,76
29,3,71
32,2,68
32,2,67
31,3,71
31,3,72
30,3,72
28,3,70
28,3,74
27,4,77
27,4,80
27,4,80
27,5,81
27,5,82
27,5,82
27,6,82
27,5,82
27,5,81
27,3,84
26,3,85
26,3,84
25,3,84
26,3,84
27,4,83
28,4,83
29,3,77
29,2,71
29,2,70
29,3,72
29,3,73
28,2,73
28,3,76
28,3,80
27,3,81
27,3,83
27,4,84
27,4,85
27,5,86
27,5,86
27,6,86
27,6,86
27,5,87
26,4,86
26,3,88
26,3,91
26,3,91
26,3,91
27,4,87
28,4,80
29,3,74
29,3,70
29,3,69
29,4,71
28,3,76
28,2,77
28,2,77
28,2,80
27,2,80
27,2,80
26,2,81
26,2,82
26,2,83
26,2,84
26,2,85
26,2,86
26,1,87
25,2,86
25,2,87
25,2,88
25,3,89
25,3,88
