@relation clima

@attribute temperatura NUMERIC
@attribute velocidad NUMERIC
@attribute humedad NUMERIC

@data
28,15,8026478873
283,32,76
293,29,706
317,19,676
316,15,674
314,28,707
31,32,715
304,33,72
281,31,703
278,34,743
274,36,765
272,38,798
271,43,804
269,46,813
269,5,818
269,54,822
268,56,82
268,54,816
266,48,81
265,34,842
261,28,846
258,33,84
254,32,84
257,34,842
267,39,831
28,38,829
288,3,774
294,22,712
292,19,695
289,29,719
285,28,728
283,24,727
282,27,755
279,27,795
274,3,809
272,34,826
27,38,835
268,4,847
267,48,858
267,53,862
267,56,86
266,56,862
265,5,867
264,41,859
263,27,881
26,27,905
256,33,914
258,33,906
268,38,866
279,39,803
288,32,738
293,27,696
294,27,689
289,35,708
284,31,757
282,24,765
281,23,773
277,22,797
272,2,804
27,2,80
264,19,81
263,2,823
263,21,83
263,2,838
262,2,849
26,18,858
256,14,869
254,16,862
253,21,872
25,23,88
249,3,887
252,33,878
