@relation clima-weka.filters.unsupervised.attribute.Remove-R2

@attribute temperatura numeric
@attribute humedad numeric

@data
28,80.26
28.3,76
29.3,70.6
31.7,67.6
31.6,67.4
31.4,70.7
31,71.5
30.4,72
28.1,70.3
27.8,74.3
27.4,76.5
27.2,79.8
27.1,80.4
26.9,81.3
26.9,81.8
26.9,82.2
26.8,82
26.8,81.6
26.6,81
26.5,84.2
26.1,84.6
25.8,84
25.4,84
25.7,84.2
26.7,83.1
28,82.9
28.8,77.4
29.4,71.2
29.2,69.5
28.9,71.9
28.5,72.8
28.3,72.7
28.2,75.5
27.9,79.5
27.4,80.9
27.2,82.6
27,83.5
26.8,84.7
26.7,85.8
26.7,86.2
26.7,86
26.6,86.2
26.5,86.7
26.4,85.9
26.3,88.1
26,90.5
25.6,91.4
25.8,90.6
26.8,86.6
27.9,80.3
28.8,73.8
29.3,69.6
29.4,68.9
28.9,70.8
28.4,75.7
28.2,76.5
28.1,77.3
27.7,79.7
27.2,80.4
27,80
26.4,81
26.3,82.3
26.3,83
26.3,83.8
26.2,84.9
26,85.8
25.6,86.9
25.4,86.2
25.3,87.2
25,88
24.9,88.7
25.2,87.8
