@relation clima-weka.filters.unsupervised.attribute.Remove-R2

@attribute temperatura numeric
@attribute humedad numeric

@data
28,80
28,76
29,71
32,68
32,67
31,71
31,72
30,72
28,70
28,74
27,77
27,80
27,80
27,81
27,82
27,82
27,82
27,82
27,81
27,84
26,85
26,84
25,84
26,84
27,83
28,83
29,77
29,71
29,70
29,72
29,73
28,73
28,76
28,80
27,81
27,83
27,84
27,85
27,86
27,86
27,86
27,86
27,87
26,86
26,88
26,91
26,91
26,91
27,87
28,80
29,74
29,70
29,69
29,71
28,76
28,77
28,77
28,80
27,80
27,80
26,81
26,82
26,83
26,84
26,85
26,86
26,87
25,86
25,87
25,88
25,89
25,88
